relative_geometry_bias | 55680005 bytes | epoch=2 | minADE6=1.2522659301757812 | /home/server01/M/Results/SEAM_AV2_20EPOCH_4TEST_MAXRES_20260903-114512/03_relative_geometry_bias/checkpoints/epoch_2-minADE6_1.2522659301757812.ckpt
relative_geometry_bias | 55680452 bytes | epoch=3 | minADE6=1.0671699047088623 | /home/server01/M/Results/SEAM_AV2_20EPOCH_4TEST_MAXRES_20260903-114512/03_relative_geometry_bias/checkpoints/epoch_3-minADE6_1.0671699047088623.ckpt
relative_geometry_bias | 55680835 bytes | epoch=4 | minADE6=1.0001025199890137 | /home/server01/M/Results/SEAM_AV2_20EPOCH_4TEST_MAXRES_20260903-114512/03_relative_geometry_bias/checkpoints/epoch_4-minADE6_1.0001025199890137.ckpt
relative_geometry_bias | 55681282 bytes | epoch=5 | minADE6=0.9974367618560791 | /home/server01/M/Results/SEAM_AV2_20EPOCH_4TEST_MAXRES_20260903-114512/03_relative_geometry_bias/checkpoints/epoch_5-minADE6_0.9974367618560791.ckpt
relative_geometry_bias | 55681793 bytes | epoch=6 | minADE6=0.9683704376220703 | /home/server01/M/Results/SEAM_AV2_20EPOCH_4TEST_MAXRES_20260903-114512/03_relative_geometry_bias/checkpoints/epoch_6-minADE6_0.9683704376220703.ckpt
relative_geometry_bias | 55682176 bytes | epoch=7 | minADE6=0.9945117831230164 | /home/server01/M/Results/SEAM_AV2_20EPOCH_4TEST_MAXRES_20260903-114512/03_relative_geometry_bias/checkpoints/epoch_7-minADE6_0.9945117831230164.ckpt
relative_geometry_bias | 55682559 bytes | epoch=8 | minADE6=0.8837924003601074 | /home/server01/M/Results/SEAM_AV2_20EPOCH_4TEST_MAXRES_20260903-114512/03_relative_geometry_bias/checkpoints/epoch_8-minADE6_0.8837924003601074.ckpt
relative_geometry_bias | 55683006 bytes | epoch=9 | minADE6=0.8608168363571167 | /home/server01/M/Results/SEAM_AV2_20EPOCH_4TEST_MAXRES_20260903-114512/03_relative_geometry_bias/checkpoints/epoch_9-minADE6_0.8608168363571167.ckpt
relative_geometry_bias | 55687220 bytes | epoch=None | minADE6=None | /home/server01/M/Results/SEAM_AV2_20EPOCH_4TEST_MAXRES_20260903-114512/03_relative_geometry_bias/checkpoints/last.ckpt
qknorm | 55789063 bytes | epoch=0 | minADE6=1.4677417278289795 | /home/server01/M/Results/SEAM_AV2_20EPOCH_4TEST_MAXRES_20260903-114512/04_qknorm/checkpoints/epoch_0-minADE6_1.4677417278289795.ckpt
